cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
176, 1, 0, 1, 0, 0.1, 129, 0.732955, 0.000341, 28
177, 0, 0, 0, 0, 0.1, 129, 0.728814, 0.000344, 28
178, 1, 0, 1, 0, 0.1, 129, 0.724719, 0.000341, 29
179, 1, 1, 1, 0, 0.1, 130, 0.726257, 0.000342, 28
180, 1, 1, 1, 0, 0.1, 131, 0.727778, 0.000339, 28
181, 1, 1, 1, 0, 0.1, 132, 0.729282, 0.000341, 28
182, 1, 1, 1, 0, 0.1, 133, 0.730769, 0.000339, 29
183, 1, 1, 1, 0, 0.1, 134, 0.73224, 0.000338, 28
184, 1, 1, 1, 0, 0.1, 135, 0.733696, 0.000337, 28
185, 0, 0, 0, 0, 0.1, 135, 0.72973, 0.000342, 28
186, 1, 0, 1, 0, 0.1, 135, 0.725806, 0.00034, 28
187, 1, 1, 1, 0, 0.1, 136, 0.727273, 0.000339, 28
188, 1, 1, 1, 0, 0.1, 137, 0.728723, 0.000341, 28
189, 1, 1, 1, 0, 0.1, 138, 0.730159, 0.000341, 28
190, 1, 1, 1, 0, 0.1, 139, 0.731579, 0.000341, 28
191, 1, 1, 1, 0, 0.1, 140, 0.732984, 0.000339, 28
192, 1, 1, 1, 0, 0.1, 141, 0.734375, 0.000338, 29
193, 1, 1, 1, 0, 0.1, 142, 0.735751, 0.000341, 29
194, 1, 1, 1, 0, 0.1, 143, 0.737113, 0.000339, 28
195, 1, 1, 1, 0, 0.1, 144, 0.738462, 0.000339, 28
196, 1, 1, 1, 0, 0.1, 145, 0.739796, 0.000338, 28
197, 0, 0, 0, 0, 0.1, 145, 0.736041, 0.000343, 28
198, 1, 0, 1, 0, 0.1, 145, 0.732323, 0.00034, 28
199, 1, 1, 1, 0, 0.1, 146, 0.733668, 0.00034, 28
200, 1, 1, 1, 0, 0.1, 147, 0.735, 0.000339, 29
201, 1, 1, 1, 0, 0.1, 148, 0.736318, 0.000339, 29
