cycle, observation, reward, action, explored, explore_rate, total reward, average reward, time, model size
5086, 66201, 3, 8, 0, 0.994913, 11279, 2.21766, 0.4754, 3528701
5087, 0, 0, 0, 0, 0.994913, 11279, 2.21722, 0.473205, 3528890
5088, 65538, 3, 8, 0, 0.994913, 11282, 2.21737, 0.504436, 3529512
5089, 0, 0, 0, 0, 0.994913, 11282, 2.21694, 0.512592, 3530878
5090, 65664, 3, 4, 0, 0.994913, 11285, 2.21709, 0.50817, 3531582
5091, 65952, 3, 6, 0, 0.994913, 11288, 2.21725, 0.46672, 3531822
5092, 0, 0, 6, 0, 0.994913, 11288, 2.21681, 0.466739, 3532862
5093, 18, 3, 5, 0, 0.994913, 11291, 2.21696, 0.496441, 3534548
5094, 2130, 3, 8, 0, 0.994913, 11294, 2.21712, 0.519733, 3535672
5095, 0, 0, 6, 0, 0.994913, 11294, 2.21668, 0.474361, 3536600
5096, 144, 3, 4, 0, 0.994913, 11297, 2.21684, 0.458209, 3537126
5097, 33168, 3, 2, 0, 0.994913, 11300, 2.21699, 0.507113, 3538070
5098, 0, 5, 6, 0, 0.994913, 11305, 2.21754, 0.523376, 3537257
5099, 32784, 3, 8, 0, 0.994913, 11308, 2.21769, 0.479445, 3538577
5100, 32793, 3, 8, 0, 0.994913, 11311, 2.21784, 0.482076, 3539822
5101, 0, 0, 0, 0, 0.994913, 11311, 2.21741, 0.501269, 3539922
5102, 65544, 3, 4, 0, 0.994913, 11314, 2.21756, 0.4865, 3540931
5103, 65928, 3, 7, 0, 0.994913, 11317, 2.21772, 0.51776, 3542579
5104, 0, 0, 4, 0, 0.994913, 11317, 2.21728, 0.465048, 3542363
5105, 131328, 3, 2, 0, 0.994913, 11320, 2.21743, 0.50019, 3540828
5106, 135456, 3, 7, 0, 0.994913, 11323, 2.21759, 0.494532, 3541455
5107, 0, 1, 5, 0, 0.994913, 11324, 2.21735, 0.46986, 3543533
5108, 8256, 3, 6, 0, 0.994913, 11327, 2.2175, 0.5079, 3543336
5109, 8280, 3, 4, 0, 0.994913, 11330, 2.21766, 0.489716, 3543362
5110, 41304, 3, 7, 0, 0.994913, 11333, 2.21781, 0.545032, 3545075
5111, 0, 0, 0, 0, 0.994913, 11333, 2.21737, 0.526042, 3545907
5112, 65664, 3, 8, 0, 0.994913, 11336, 2.21753, 0.522296, 3546694
5113, 67713, 3, 8, 0, 0.994913, 11339, 2.21768, 0.511705, 3547415
5114, 0, 0, 0, 0, 0.994913, 11339, 2.21725, 0.481645, 3548144
5115, 66048, 3, 5, 0, 0.994913, 11342, 2.2174, 0.488652, 3548081
5116, 66120, 3, 7, 0, 0.994913, 11345, 2.21755, 0.523505, 3547210
5117, 0, 0, 0, 0, 0.994913, 11345, 2.21712, 0.482722, 3548036
5118, 65544, 3, 4, 0, 0.994913, 11348, 2.21727, 0.494526, 3547321
5119, 65928, 3, 5, 0, 0.994913, 11351, 2.21743, 0.49196, 3549132
5120, 0, 0, 0, 0, 0.994913, 11351, 2.21699, 0.503755, 3549749
5121, 73728, 3, 8, 0, 0.994913, 11354, 2.21715, 0.499375, 3550463
5122, 73761, 3, 3, 0, 0.994913, 11357, 2.2173, 0.505214, 3550970
5123, 0, 1, 2, 0, 0.994913, 11358, 2.21706, 0.495628, 3552183
5124, 4224, 3, 1, 0, 0.994913, 11361, 2.21721, 0.512066, 3552489
5125, 20616, 3, 8, 0, 0.994913, 11364, 2.21737, 0.505869, 3552894
5126, 21129, 3, 7, 0, 0.994913, 11367, 2.21752, 0.50099, 3554211
5127, 0, 0, 0, 0, 0.994913, 11367, 2.21709, 0.520428, 3556050
5128, 98304, 3, 4, 0, 0.994913, 11370, 2.21724, 0.510822, 3555829
5129, 98592, 3, 5, 0, 0.994913, 11373, 2.21739, 0.508696, 3555712
5130, 98664, 3, 7, 0, 0.994913, 11376, 2.21754, 0.504498, 3556135
5131, 0, 0, 0, 0, 0.994913, 11376, 2.21711, 0.512634, 3556933
5132, 65544, 3, 0, 0, 0.994913, 11379, 2.21726, 0.505699, 3556820
5133, 0, 0, 5, 0, 0.994913, 11379, 2.21683, 0.500922, 3558084
5134, 2112, 3, 8, 0, 0.994913, 11382, 2.21698, 0.503146, 3558558
5135, 2121, 3, 8, 0, 0.994913, 11385, 2.21714, 0.512371, 3559694
5136, 0, 0, 0, 0, 0.994913, 11385, 2.21671, 0.500599, 3559942
5137, 98304, 3, 7, 0, 0.994913, 11388, 2.21686, 0.502497, 3561462
5138, 98340, 3, 2, 0, 0.994913, 11391, 2.21701, 0.524711, 3560278
5139, 104484, 3, 7, 0, 0.994913, 11394, 2.21716, 0.515288, 3561790
5140, 0, 0, 5, 0, 0.994913, 11394, 2.21673, 0.507222, 3561908
5141, 72, 3, 2, 0, 0.994913, 11397, 2.21688, 0.506087, 3563211
5142, 4680, 3, 1, 0, 0.994913, 11400, 2.21704, 0.519101, 3563498
5143, 21096, 3, 7, 0, 0.994913, 11403, 2.21719, 0.517521, 3564344
5144, 0, 0, 0, 0, 0.994913, 11403, 2.21676, 0.50444, 3565038
5145, 65538, 3, 4, 0, 0.994913, 11406, 2.21691, 0.524178, 3564482
5146, 73986, 3, 3, 0, 0.994913, 11409, 2.21706, 0.515197, 3563287
5147, 0, 1, 4, 0, 0.994913, 11410, 2.21683, 0.512805, 3564105
5148, 288, 3, 4, 0, 0.994913, 11413, 2.21698, 0.51695, 3565350
5149, 0, 0, 0, 0, 0.994913, 11413, 2.21655, 0.528237, 3566223
5150, 65538, 3, 4, 0, 0.994913, 11416, 2.2167, 0.516156, 3567014
5151, 73986, 3, 0, 0, 0.994913, 11419, 2.21685, 0.516418, 3567288
5152, 0, 0, 0, 0, 0.994913, 11419, 2.21642, 0.517426, 3567759
5153, 65538, 3, 8, 0, 0.994913, 11422, 2.21657, 0.519234, 3568542
5154, 0, 0, 0, 0, 0.994913, 11422, 2.21614, 0.518494, 3569195
5155, 98304, 3, 3, 0, 0.994913, 11425, 2.21629, 0.511054, 3570376
5156, 99456, 3, 7, 0, 0.994913, 11428, 2.21645, 0.530398, 3569908
5157, 99972, 3, 2, 0, 0.994913, 11431, 2.2166, 0.525923, 3571593
5158, 104100, 3, 0, 0, 0.994913, 11434, 2.21675, 0.52309, 3572275
5159, 0, 0, 5, 0, 0.994913, 11434, 2.21632, 0.515763, 3571812
5160, 131136, 3, 7, 0, 0.994913, 11437, 2.21647, 0.519153, 3571735
5161, 139332, 3, 8, 0, 0.994913, 11440, 2.21662, 0.524312, 3571565
5162, 139365, 3, 1, 0, 0.994913, 11443, 2.21678, 0.535398, 3572335
5163, 0, 1, 0, 0, 0.994913, 11444, 2.21654, 0.537376, 3572073
5164, 65538, 3, 8, 0, 0.994913, 11447, 2.21669, 0.516836, 3573530
5165, 0, 0, 0, 0, 0.994913, 11447, 2.21626, 0.511724, 3574534
5166, 65664, 3, 8, 0, 0.994913, 11450, 2.21642, 0.521212, 3574285
5167, 98433, 3, 7, 0, 0.994913, 11453, 2.21657, 0.518035, 3574260
5168, 98469, 3, 7, 0, 0.994913, 11456, 2.21672, 0.527947, 3575749
5169, 0, 0, 0, 0, 0.994913, 11456, 2.21629, 0.53066, 3577409
5170, 67584, 3, 8, 0, 0.994913, 11459, 2.21644, 0.544846, 3578469
5171, 67593, 3, 4, 0, 0.994913, 11462, 2.21659, 0.546682, 3577594
5172, 0, 5, 6, 0, 0.994913, 11467, 2.21713, 0.532935, 3577995
5173, 8208, 3, 4, 0, 0.994913, 11470, 2.21728, 0.544944, 3578688
5174, 8592, 3, 6, 0, 0.994913, 11473, 2.21743, 0.536076, 3578850
5175, 0, 0, 4, 0, 0.994913, 11473, 2.217, 0.530003, 3578742
